Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1.0.6.1-4.4.4.4-80-1320-6,4.4.4.4,1320,1.0.6.1,80,6,01/01/1970 08:00:51 上午,2999824,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.333411560144862,999941.3333333333,1000000.0051626667,2000000.0,0.0,0,0,0,0,0,2999824.0,999941.3333333333,1000000.0051626667,2000000.0,0.0,0,0,0,0,0,92,0.0,1.333411560144862,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1343-6,4.4.4.4,1343,1.0.6.1,80,6,01/01/1970 08:01:14 上午,2999883,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3333853353614125,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,2999883.0,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3333853353614125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1780-6,4.4.4.4,1780,1.0.6.1,80,6,01/01/1970 08:00:13 上午,30999604,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.22580933614506815,5166600.666666666,6013927.725937739,1.6E7,0.0,0,0,0,0,0,3.0999604E7,5166600.666666666,6013927.725937739,1.6E7,0.0,0,0,0,0,0,164,0.0,0.22580933614506815,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999604.0,0.0,6999604.0,6999604.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-4.4.4.4-80-2373-6,4.4.4.4,2373,1.0.6.1,80,6,01/01/1970 08:01:45 上午,2999193,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3336920965072938,999731.0,1000000.1085414941,2000000.0,0.0,0,0,0,0,0,2999193.0,999731.0,1000000.1085414941,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3336920965072938,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1788-6,4.4.4.4,1788,1.0.6.1,80,6,01/01/1970 08:00:21 上午,30999109,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.22581294191391113,5166518.166666666,6013996.325155193,1.6E7,0.0,0,0,0,0,0,3.0999109E7,5166518.166666666,6013996.325155193,1.6E7,0.0,0,0,0,0,0,164,0.0,0.22581294191391113,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999109.0,0.0,6999109.0,6999109.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-6.6.6.6-23-2768-6,6.6.6.6,2768,1.0.6.1,23,6,01/01/1970 08:01:31 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-5.5.5.5-80-1169-6,5.5.5.5,1169,1.0.6.1,80,6,01/01/1970 08:00:42 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-5.5.5.5-80-1184-6,5.5.5.5,1184,1.0.6.1,80,6,01/01/1970 08:00:57 上午,2999883,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3333853353614125,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,2999883.0,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3333853353614125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1328-6,4.4.4.4,1328,1.0.6.1,80,6,01/01/1970 08:00:59 上午,2999471,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.333568485909682,999823.6666666667,1000000.0466401656,2000000.0,0.0,0,0,0,0,0,2999471.0,999823.6666666667,1000000.0466401656,2000000.0,0.0,0,0,0,0,0,92,0.0,1.333568485909682,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-6.6.6.6-23-2760-6,6.6.6.6,2760,1.0.6.1,23,6,01/01/1970 08:01:23 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-5.5.5.5-80-1161-6,5.5.5.5,1161,1.0.6.1,80,6,01/01/1970 08:00:34 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-5.5.5.5-80-1217-6,5.5.5.5,1217,1.0.6.1,80,6,01/01/1970 08:01:30 上午,2999883,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3333853353614125,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,2999883.0,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3333853353614125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1792-6,4.4.4.4,1792,1.0.6.1,80,6,01/01/1970 08:00:25 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-5.5.5.5-80-1220-6,5.5.5.5,1220,1.0.6.1,80,6,01/01/1970 08:01:33 上午,6999883,0,5,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.714297653260776,1749970.75,1707842.2556222563,4000000.0,0.0,0,0,0,0,0,6999883.0,1749970.75,1707842.2556222563,4000000.0,0.0,0,0,0,0,0,116,0.0,0.714297653260776,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1332-6,4.4.4.4,1332,1.0.6.1,80,6,01/01/1970 08:01:03 上午,2999042,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.33375924711958,999680.6666666667,1000000.152960655,2000000.0,0.0,0,0,0,0,0,2999042.0,999680.6666666667,1000000.152960655,2000000.0,0.0,0,0,0,0,0,92,0.0,1.33375924711958,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-2362-6,4.4.4.4,2362,1.0.6.1,80,6,01/01/1970 08:01:34 上午,14999824,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.40000469338840244,2999964.8,3162305.489068885,8000000.0,0.0,0,0,0,0,0,1.4999824E7,2999964.8,3162305.489068885,8000000.0,0.0,0,0,0,0,0,140,0.0,0.40000469338840244,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999824.0,0.0,6999824.0,6999824.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.6.1-5.5.5.5-80-2273-6,5.5.5.5,2273,1.0.6.1,80,6,01/01/1970 08:01:49 上午,999690,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0009302883894007,499845.0,706887.5780843797,999690.0,0.0,0,0,0,0,0,999690.0,499845.0,706887.5780843797,999690.0,0.0,0,0,0,0,0,68,0.0,3.0009302883894007,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1777-6,4.4.4.4,1777,1.0.6.1,80,6,01/01/1970 08:00:10 上午,30999707,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.22580858586824706,5166617.833333333,6013913.452512279,1.6E7,0.0,0,0,0,0,0,3.0999707E7,5166617.833333333,6013913.452512279,1.6E7,0.0,0,0,0,0,0,164,0.0,0.22580858586824706,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999707.0,0.0,6999707.0,6999707.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-5.5.5.5-80-1158-6,5.5.5.5,1158,1.0.6.1,80,6,01/01/1970 08:00:31 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-5.5.5.5-80-1173-6,5.5.5.5,1173,1.0.6.1,80,6,01/01/1970 08:00:46 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-6.6.6.6-23-2757-6,6.6.6.6,2757,1.0.6.1,23,6,01/01/1970 08:01:20 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-5.5.5.5-80-1196-6,5.5.5.5,1196,1.0.6.1,80,6,01/01/1970 08:01:09 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-4.4.4.4-80-1317-6,4.4.4.4,1317,1.0.6.1,80,6,01/01/1970 08:00:48 上午,14999825,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.40000466672111173,2999965.0,3162305.33094529,8000000.0,0.0,0,0,0,0,0,1.4999825E7,2999965.0,3162305.33094529,8000000.0,0.0,0,0,0,0,0,140,0.0,0.40000466672111173,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999825.0,0.0,6999825.0,6999825.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.6.1-5.5.5.5-80-1205-6,5.5.5.5,1205,1.0.6.1,80,6,01/01/1970 08:01:18 上午,14999883,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4000031200243362,2999976.6,3162296.1598714627,8000000.0,0.0,0,0,0,0,0,1.4999883E7,2999976.6,3162296.1598714627,8000000.0,0.0,0,0,0,0,0,140,0.0,0.4000031200243362,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.6.1-6.6.6.6-23-2772-6,6.6.6.6,2772,1.0.6.1,23,6,01/01/1970 08:01:35 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1781-6,4.4.4.4,1781,1.0.6.1,80,6,01/01/1970 08:00:14 上午,30999604,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.22580933614506815,5166600.666666666,6013927.725937739,1.6E7,0.0,0,0,0,0,0,3.0999604E7,5166600.666666666,6013927.725937739,1.6E7,0.0,0,0,0,0,0,164,0.0,0.22580933614506815,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999604.0,0.0,6999604.0,6999604.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-4.4.4.4-80-1342-6,4.4.4.4,1342,1.0.6.1,80,6,01/01/1970 08:01:13 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-4.4.4.4-80-1327-6,4.4.4.4,1327,1.0.6.1,80,6,01/01/1970 08:00:58 上午,2999471,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.333568485909682,999823.6666666667,1000000.0466401656,2000000.0,0.0,0,0,0,0,0,2999471.0,999823.6666666667,1000000.0466401656,2000000.0,0.0,0,0,0,0,0,92,0.0,1.333568485909682,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-2374-6,4.4.4.4,2374,1.0.6.1,80,6,01/01/1970 08:01:46 上午,2999883,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3333853353614125,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,2999883.0,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3333853353614125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1789-6,4.4.4.4,1789,1.0.6.1,80,6,01/01/1970 08:00:22 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-4.4.4.4-80-2359-6,4.4.4.4,2359,1.0.6.1,80,6,01/01/1970 08:01:31 上午,14999841,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4000042400449445,2999968.2,3162302.8009752952,8000000.0,0.0,0,0,0,0,0,1.4999841E7,2999968.2,3162302.8009752952,8000000.0,0.0,0,0,0,0,0,140,0.0,0.4000042400449445,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999841.0,0.0,6999841.0,6999841.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.6.1-6.6.6.6-23-2769-6,6.6.6.6,2769,1.0.6.1,23,6,01/01/1970 08:01:32 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-5.5.5.5-80-1162-6,5.5.5.5,1162,1.0.6.1,80,6,01/01/1970 08:00:35 上午,30999883,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2258073038533726,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,3.0999883E7,5166647.166666667,6013889.063571773,1.6E7,0.0,0,0,0,0,0,164,0.0,0.2258073038533726,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,-1,29200,0,0,6999883.0,0.0,6999883.0,6999883.0,1.2E7,5656854.24949238,1.6E7,8000000.0,No Label
1.0.6.1-5.5.5.5-80-1185-6,5.5.5.5,1185,1.0.6.1,80,6,01/01/1970 08:00:58 上午,2999883,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3333853353614125,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,2999883.0,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3333853353614125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-5.5.5.5-80-1216-6,5.5.5.5,1216,1.0.6.1,80,6,01/01/1970 08:01:29 上午,2999883,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3333853353614125,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,2999883.0,999961.0,1000000.0022815,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3333853353614125,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-6.6.6.6-23-2761-6,6.6.6.6,2761,1.0.6.1,23,6,01/01/1970 08:01:24 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1331-6,4.4.4.4,1331,1.0.6.1,80,6,01/01/1970 08:01:02 上午,2999043,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.3337588023912963,999681.0,1000000.1526414884,2000000.0,0.0,0,0,0,0,0,2999043.0,999681.0,1000000.1526414884,2000000.0,0.0,0,0,0,0,0,92,0.0,1.3337588023912963,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1770-6,4.4.4.4,1770,1.0.6.1,80,6,01/01/1970 08:00:03 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
1.0.6.1-4.4.4.4-80-1316-6,4.4.4.4,1316,1.0.6.1,80,6,01/01/1970 08:00:47 上午,14999827,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4000046133865411,2999965.4,3162305.014698266,8000000.0,0.0,0,0,0,0,0,1.4999827E7,2999965.4,3162305.014698266,8000000.0,0.0,0,0,0,0,0,140,0.0,0.4000046133865411,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999827.0,0.0,6999827.0,6999827.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.6.1-4.4.4.4-80-2363-6,4.4.4.4,2363,1.0.6.1,80,6,01/01/1970 08:01:35 上午,14999820,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4000048000576007,2999964.0,3162306.1215638183,8000000.0,0.0,0,0,0,0,0,1.499982E7,2999964.0,3162306.1215638183,8000000.0,0.0,0,0,0,0,0,140,0.0,0.4000048000576007,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,-1,29200,0,0,6999820.0,0.0,6999820.0,6999820.0,8000000.0,0.0,8000000.0,8000000.0,No Label
1.0.6.1-5.5.5.5-80-2274-6,5.5.5.5,2274,1.0.6.1,80,6,01/01/1970 08:01:50 上午,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
